nevek	nem (1=férfi, 2=nő)
Tivald	1
Tiván	1
Tobán	1
Tóbiás	1
Tódor	1
Toma	1
Tomaj	1
Tomor	1
Tonuzóba	1
Torda	1
Tordas	1
Tormás	1
Torna	1
Torontál	1
Torszten	1
Töhötöm	1
Tömör	1
Törtel	1
Trajánusz	1
Trevisz	1
Trevor	1
Trisztán	1
Triton	1
Tullió	1
Turul	1
Tuzson	1
Ubul	1
Údó	1
Ugocsa	1
Ugod	1
Ugor	1
Ugron	1
Ulászló	1
Uldin	1
Ulisszesz	1
Ulpián	1
Ulrik	1
Umbertó	1
Upor	1
Urbán	1
Uri	1
Uriás	1
Uriel	1
Uros	1
Uzon	1
Uzor	1
Üllõ	1
Vadim	1
Vadony	1
Vajda	1
Vajk	1
Vajta	1
Valdemár	1
Valdó	1
Valentin	1
Valentínó	1
Valér	1
Valérió	1
Valid	1
Valter	1
Valton	1
Várkony	1
Varsány	1
Vászoly	1
Vata	1
Vazul	1
Vázsony	1
Vejke	1
Velek	1
Vencel	1
Vendel	1
Vérbulcsú	1
Vern	1
Verner	1
Vernon	1
Versény	1
Vértes	1
Vetúriusz	1
Viátor	1
Vicián	1
Vid	1
Víd	1
Vida	1
Vidor	1
Vidos	1
Viggó	1
Vikram	1
Viktor	1
Vilibald	1
Vilmos	1
Vince	1
Vincent	1
Virgil	1
Virgíniusz	1
Vitálij	1
Vitális	1
Vitályos	1
Vitány	1
Vitéz	1
Vító	1
Vitold	1
Vitus	1
Vladek	1
Vladimír	1
Vojta	1
Volfram	1
Voren	1
Votan	1
Vulkán	1
Xavér	1
Xerxész	1
Zádor	1
Zafer	1
Zágon	1
Zaid	1
Zain	1
Zajta	1
Zajzon	1
Zakari	1
Zakariás	1
Zakeus	1
Zala	1
Zalán	1
Zaman	1
Zámor	1
Zarán	1
Zaránd	1
Záven	1
Zdenkó	1
Zebadiás	1
Zebulon	1
Zeke	1
Zeki	1
Zekõ	1
Zéman	1
Zénó	1
Zenobiusz	1
Zenon	1
Zente	1
Zerénd	1
Zerind	1
Zéta	1
Zetán	1
Zetár	1
Zete	1
Zétény	1
Zeusz	1
Zev	1
Ziad	1
Zílió	1
Zimány	1
Zlatan	1
Zlatkó	1
Zoárd	1
Zobor	1
Zohár	1
Zolta	1
Zoltán	1
Zólyom	1
Zombor	1
Zongor	1
Zorán	1
Zorba	1
Zotmund	1
Zovárd	1
Zovát	1
Zuárd	1
Zuboly	1
Zuriel	1
Zsadán	1
Zsadány	1
Zserald	1
Zsigmond	1
Zsolt	1
Zsombor	1
Zsongor	1
Zsubor	1
Zsülien	1
Abélia	2
Abiáta	2
Abigél	2
Ada	2
Adala	2
Adalberta	2
Adalbertina	2
Adalind	2
Adaora	2
Adél	2
Adela	2
Adéla	2
Adelaida	2
Adelgund	2
Adelgunda	2
Adelheid	2
